Epoch,Content Loss,Adversarial Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM
1,0.059743382036685944,,8.418067239522934,8.325728052854538,14.676256537815503,14.549568366328895,0.1774153073510388,0.18477050006855278
2,0.024920184165239334,,9.928047147393226,9.764689223965009,16.186236448504538,15.98852946663586,0.2935999655146152,0.28894274265815817
3,0.018545065075159073,,10.675019817352295,10.525047068794569,16.93320909511626,16.7488873617251,0.43497924737632276,0.4287408311851323
4,0.017167244106531143,,11.494074178338051,11.365854639808337,17.752263462373026,17.589694951019695,0.5419079864621162,0.5340652198096116
5,0.013941708020865917,,12.159493378400803,12.04175040324529,18.417682681686728,18.26559069562373,0.600630240291357,0.5950793191790581
6,0.01507557649165392,,12.525447368621826,12.40687914788723,18.783636697526727,18.630719438131486,0.6215155918002129,0.616092787583669
7,0.02419852837920189,,12.724764403104782,12.613416363795599,18.98295369466458,18.837256621258668,0.6315692129135132,0.6267296252648036
8,0.016427423804998398,,12.8673132532835,12.768513431151709,19.12550253224774,18.99235373652406,0.6476072934865952,0.6436641768614451
9,0.01044632401317358,,13.002139257192612,12.917864018678666,19.260328542996568,19.141704325608323,0.6602688997983932,0.657266925573349
10,0.014739305712282658,,13.126761142015457,13.066840459903082,19.384950443884723,19.290680749043727,0.6665728524923324,0.6648336797952652
11,0.013124871999025345,,13.209640998840332,13.167755524317423,19.467830297807694,19.391595781990482,0.6784683379530907,0.6772992349664371
12,0.02423972822725773,,13.284496651291848,13.249695012966791,19.542685952033274,19.47353532833997,0.683801635146141,0.6829956184824307
13,0.019538480788469315,,13.345368101000785,13.31374947031339,19.603557409131096,19.53758968721437,0.6888414732813836,0.6880318057537079
14,0.00856719072908163,,13.39733081638813,13.367231231927871,19.655520116205594,19.591071515172853,0.6909538110494614,0.6902582308650017
15,0.010472285561263561,,13.444785667061806,13.41644902229309,19.702974967494672,19.640289311491063,0.6939304156899452,0.6932966176668803
16,0.012699269689619541,,13.490087075829505,13.463211808602015,19.748276354766567,19.6870520526947,0.6952997772693634,0.6947677064935366
17,0.007900767959654331,,13.527798666954041,13.502260142564774,19.785987981127526,19.726100409410932,0.6975625083446503,0.6970900648832321
18,0.010159711353480816,,13.559039221405984,13.53464873234431,19.817228525978685,19.75848901117037,0.6996149382591248,0.6991978204250335
19,0.00585163664072752,,13.590748705267906,13.56742538412412,19.8489380192355,19.79126565483536,0.7012166512608529,0.7008241896828016
20,0.012193345464766026,,13.618569628000259,13.596589698394139,19.876758934161902,19.820429988112082,0.7025679849386215,0.7022077697515487
21,0.010786391794681549,,13.647426767945289,13.626019110282263,19.905616070186024,19.84985941561876,0.7045224512219429,0.7042072080572446
