Epoch,Content Loss,Adversarial Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM
1,0.03344489634037018,0.9316471815109253,7.128989815637469,7.1116965803783385,13.314019635506625,13.28224775479313,0.22043183819204568,0.2159452243273457
2,0.01638134755194187,1.6448211669921875,11.656263394355774,11.598414138952892,17.84129324393023,17.768965358922063,0.32917125867307184,0.322590455164512
3,0.015485808253288269,3.232819080352783,12.320947316288947,12.261188382903734,18.505977166550824,18.43173959877373,0.3538890391737223,0.3473189214617014
4,0.021664660423994064,2.571960210800171,12.578979834318162,12.534339495499928,18.76400971450593,18.704890760390846,0.36112258967757227,0.35588160196940105
5,0.016998732462525368,2.641918420791626,12.578993868231773,12.545155623555184,18.76402371886386,18.71570683120434,0.34953501737117765,0.34419027539590996
6,0.017049605026841164,3.5943267345428467,12.607852086424828,12.561685601870218,18.792881906358097,18.73223685295773,0.3575687990784645,0.3517754828929901
7,0.015314990654587746,3.5171284675598145,12.195309968590736,12.198446238040924,18.38033979891487,18.368997471833556,0.3371716902703047,0.33134111886223155
8,0.013507666066288948,3.9232301712036133,12.732598143815995,12.683933289845784,18.91762799140258,18.854484491192053,0.3541997286528349,0.3478329328199228
9,0.009700854308903217,2.8174986839294434,12.849833027124404,12.797110112508138,19.03486282610677,18.96766130703642,0.3667764502465725,0.3599241773535808
10,0.013716288842260838,4.359363079071045,12.2279929125309,12.189866490165393,18.413022724813985,18.360417765952157,0.34516420096158984,0.33985457368195054
11,0.008718438446521759,3.4326844215393066,12.461053391098977,12.450302719076474,18.646083259309496,18.62085390317847,0.34466969077289106,0.3396097516765197
12,0.015712006017565727,4.859977722167969,12.853241528868676,12.827682439486185,19.038271329316586,18.998233616562874,0.3962165313959122,0.38971755027770993
13,0.016012296080589294,1.7664563655853271,12.580942355990409,12.534427130222321,18.76597217455914,18.70497832266919,0.36554741951823233,0.35835190599163375
14,0.023715220391750336,1.9232579469680786,12.188550679683685,12.167932181557019,18.373580530157778,18.338483428945516,0.34205658873915673,0.33749088518321513
15,0.016180114820599556,4.138899803161621,12.618728380799293,12.602729771534602,18.803758169078172,18.773280956788984,0.3576704360283911,0.3507215543091297
16,0.011973576620221138,5.20458459854126,13.061831875443458,13.003793013095855,19.246861686553597,19.17434424339,0.38226804535090925,0.37343543536961077
17,0.020326189696788788,4.785452842712402,13.51926322221756,13.474368699391682,19.704293057566233,19.644919955511643,0.44800904995203017,0.438915559053421
18,0.011323008686304092,4.587997913360596,13.549730803370476,13.502096597353617,19.734760643844297,19.672647846343413,0.4526570312976837,0.4435369337101777
